Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Dataset]	Term Source REF	Term Accession Number	Factor Value[Subject ID]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Time]	Unit	Term Source REF	Term Accession Number
CM__QC_media_10	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_media_10	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ_M6	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M6	cardiomyocytes			6			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ_M8	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M8	cardiomyocytes			8			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ_M3	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M3	cardiomyocytes			3			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ_M10	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M10	cardiomyocytes			10			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ_M17	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M17	cardiomyocytes			17			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_media_11	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_media_11	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ_M11	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M11	cardiomyocytes			11			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ_M12	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M12	cardiomyocytes			12			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ_M7	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M7	cardiomyocytes			7			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
