Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Dataset]	Term Source REF	Term Accession Number	Factor Value[Subject ID]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Time]	Unit	Term Source REF	Term Accession Number
CT__QC3	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	CT__QC3	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC4	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	CT__QC4	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__extract_blank_start	blank			blank						experimental blank	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000218	Sample collection	CT__extract_blank_start	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC5	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	CT__QC5	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC_6_MSMS	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	CT__QC_6_MSMS	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC_7_MSMS	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	CT__QC_7_MSMS	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC_8_MSMS	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	CT__QC_8_MSMS	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC9	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	CT__QC9	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC10	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	CT__QC10	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__28	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__28	rat_cardiac_tissue			28			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__63	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__63	rat_cardiac_tissue			63			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__68	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__68	rat_cardiac_tissue			68			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__33	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__33	rat_cardiac_tissue			33			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC11	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	CT__QC11	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__70	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__70	rat_cardiac_tissue			70			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__26	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__26	rat_cardiac_tissue			26			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__65	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__65	rat_cardiac_tissue			65			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__35	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__35	rat_cardiac_tissue			35			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC12	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	CT__QC12	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__61	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__61	rat_cardiac_tissue			61			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__30	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__30	rat_cardiac_tissue			30			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__64	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__64	rat_cardiac_tissue			64			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__67	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__67	rat_cardiac_tissue			67			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC13	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	CT__QC13	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__27	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__27	rat_cardiac_tissue			27			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__62	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__62	rat_cardiac_tissue			62			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__34	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__34	rat_cardiac_tissue			34			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__69	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__69	rat_cardiac_tissue			69			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC14	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	CT__QC14	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__31	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__31	rat_cardiac_tissue			31			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__29	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__29	rat_cardiac_tissue			29			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__66	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__66	rat_cardiac_tissue			66			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__32	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__32	rat_cardiac_tissue			32			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC15	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	CT__QC15	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC16	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	CT__QC16	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__extract_blank_end	blank			blank						experimental blank	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000218	Sample collection	CT__extract_blank_end	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__Sunitinib_new_MSMS	reference compound	BAO	http://www.bioassayontology.org/bao#BAO_0002092	pure substance	CHEBI	http://purl.obolibrary.org/obo/CHEBI_60003				reference compound	MSIO	http://purl.obolibrary.org/obo/MSIO_0000023	Sample collection	CT__Sunitinib_new_MSMS	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__AZ_compound_MSMS	reference compound	BAO	http://www.bioassayontology.org/bao#BAO_0002092	pure substance	CHEBI	http://purl.obolibrary.org/obo/CHEBI_60003				reference compound	MSIO	http://purl.obolibrary.org/obo/MSIO_0000023	Sample collection	CT__AZ_compound_MSMS	rat_cardiac_tissue										day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__68_SUN_Heart_1	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__68_SUN_Heart_1	rat_cardiac_tissue			68			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__68_SUN_Heart_2	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__68_SUN_Heart_2	rat_cardiac_tissue			68			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__68_SUN_Heart_3	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__68_SUN_Heart_3	rat_cardiac_tissue			68			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__67_SUN_Heart_1	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__67_SUN_Heart_1	rat_cardiac_tissue			67			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__67_SUN_Heart_2	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__67_SUN_Heart_2	rat_cardiac_tissue			67			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__67_SUN_Heart_3	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__67_SUN_Heart_3	rat_cardiac_tissue			67			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__70_SUN_Heart_1	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__70_SUN_Heart_1	rat_cardiac_tissue			70			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__70_SUN_Heart_2	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__70_SUN_Heart_2	rat_cardiac_tissue			70			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__70_SUN_Heart_3	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__70_SUN_Heart_3	rat_cardiac_tissue			70			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__34_AZ_Heart_1	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__34_AZ_Heart_1	rat_cardiac_tissue			34			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__34_AZ_Heart_2	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__34_AZ_Heart_2	rat_cardiac_tissue			34			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__34_AZ_Heart_3	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__34_AZ_Heart_3	rat_cardiac_tissue			34			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__34_AZ_Heart_4	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__34_AZ_Heart_4	rat_cardiac_tissue			34			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__34_AZ_Heart_5	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__34_AZ_Heart_5	rat_cardiac_tissue			34			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__33_AZ_Heart_1	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__33_AZ_Heart_1	rat_cardiac_tissue			33			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__33_AZ_Heart_2	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__33_AZ_Heart_2	rat_cardiac_tissue			33			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__33_AZ_Heart_3	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__33_AZ_Heart_3	rat_cardiac_tissue			33			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__33_AZ_Heart_4	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__33_AZ_Heart_4	rat_cardiac_tissue			33			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__33_AZ_Heart_5	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__33_AZ_Heart_5	rat_cardiac_tissue			33			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__32_AZ_Heart_1	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__32_AZ_Heart_1	rat_cardiac_tissue			32			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__32_AZ_Heart_2	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__32_AZ_Heart_2	rat_cardiac_tissue			32			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__32_AZ_Heart_3	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__32_AZ_Heart_3	rat_cardiac_tissue			32			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__32_AZ_Heart_4	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__32_AZ_Heart_4	rat_cardiac_tissue			32			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
