"Sample","0006_Marios_PD1_Inhib2_HP-AF008975-8","0052_Marios_PD1_Inhib2_HP-AF581651-8","0079_Marios_PD1_Inhib2_HP-E9099271-7","0123_Marios_PD1_Inhib2_HP-E9665082-7","0136_Marios_PD1_Inhib2_HP-E9657534-6","0166_Marios_PD1_Inhib2_HP-L1381809-7","0171_Marios_PD1_Inhib2_HP-AE613362-6","0191_Marios_PD1_Inhib2_HP-AD645855-7","0199_Marios_PD1_Inhib2_HP-L1379654-6","0220_Marios_PD1_Inhib2_HP-EA717427-8","0236_Marios_PD1_Inhib2_HP-E9172349-7","0257_Marios_PD1_Inhib2_HP-AE428479-7","0267_Marios_PD1_Inhib2_HP-S3717262-7","0268_Marios_PD1_Inhib2_HP-S4035312-7","0284_Marios_PD1_Inhib2_HP-S3672129-7","0343_Marios_PD1_Inhib2_HP-EA563624-6","0400_Marios_PD1_Inhib2_HP-EA305478-7","0408_Marios_PD1_Inhib2_HP-AE861579-7","0410_Marios_PD1_Inhib2_HP-AE913731-7","0418_Marios_PD1_Inhib2_HP-AE522916-7","0424_Marios_PD1_Inhib2_HP-S4102914-8","0446_Marios_PD1_Inhib2_HP-AE794300-7","0488_Marios_PD1_Inhib2_HP-L1443430-8","0495_Marios_PD1_Inhib2_HP-AD775401-7","0506_Marios_PD1_Inhib2_HP-EA720987-9","0533_Marios_PD1_Inhib2_HP-S3510221-9","0540b_Marios_PD1_Inhib2_HP-PREFB28","0541_Marios_PD1_Inhib2_HP-E9070705-7","0560a_Marios_PD1_Inhib2_HP-PREFA29","0577_Marios_PD1_Inhib2_HP-AE002908-7","0587_Marios_PD1_Inhib2_HP-L1357306-7","0600bb_Marios_PD1_Inhib2_HP-PREFB31","0619_Marios_PD1_Inhib2_HP-L1479330-11","0620_Marios_PD1_Inhib2_HP-AE645251-7","0631_Marios_PD1_Inhib2_HP-AF048321-8","0640_Marios_PD1_Inhib2_HP-AE506727-9","0730_Marios_PD1_Inhib2_HP-E9101839-7","0735_Marios_PD1_Inhib2_HP-AD267750-5","0740b_Marios_PD1_Inhib2_HP-PREFB39","0843_Marios_PD1_Inhib2_HP-S3606424-7","0860a_Marios_PD1_Inhib2_HP-PREFA45","0880_Marios_PD1_Inhib2_HP-EA083054-6","0882_Marios_PD1_Inhib2_HP-S3862083-7","0900b_Marios_PD1_Inhib2_HP-PREFB47","0910_Marios_PD1_Inhib2_HP-AE606326-6","0919_Marios_PD1_Inhib2_HP-E9106380-6","0937_Marios_PD1_Inhib2_HP-E9540924-7","0947_Marios_PD1_Inhib2_HP-AE052722-7","1108_Marios_PD1_Inhib2_HP-L1381844-5","1177_Marios_PD1_Inhib2_HP-AF575413-8"
"Label","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi"
"137.0515__505.92","589750.59036","1391128.62775","3484940.5424","780072.03712","375210.76172","1137902.02431","1009354.98628","631279.0296","1348353.90796","560965.32048","458051.72196","895829.78021","1402405.21085","1628171.57752","2301447.98682","629436.37943","355445.62014","683921.11045","392981.83348","1164254.88949","697284.74666","1159604.58444","249269.86266","429309.50555","1007619.75891","1588305.21503","733039.53389","674939.01688","822363.62035","1051364.50884","991238.39006","934243.50412","0","0","0","0","0","0","0","0","0","0","0","0","2825.23496","0","0","0","0","0"
"137.0593__117.26","368241.03157","515828.48334","211994.78497","45215.70186","240020.26656","432339.04465","349160.25968","290428.13354","1154333.24807","506051.13167","39627.97473","47548.06374","927728.76682","1688857.14285","428576.29107","566773.6053","76674.92775","379236.51953","176645.73125","70758.63845","690578.65346","946214.55598","3210977.29173","258016.99655","47085.20232","812255.17181","383337.88079","89584.36997","457019.8044","825472.06411","2373431.3365","589285.77032","2082041.83381","1929295.17558","1554143.70414","2349717.16281","0","2336806.35199","1264255.49883","163632.77786","1424899.35309","1045534.74672","66607.17876","1400927.58211","1802559.50764","194210.18655","203771.43773","1494489.9193","1997784.21976","2212153.85115"
"137.0653__144.78","2495586.44306","4091577.52368","0","0","0","3017757.84029","4445993.33512","3954498.979","2813391.64934","0","0","8004262.42635","0","0","0","0","0","3985465.65777","0","4493139.38883","0","5353437.28644","5270724.33895","5004994.14012","0","0","2653360.66154","0","2800985.28166","6789052.45389","6277739.80155","2898610.90992","2267063.68399","2814475.14511","1534135.11586","1731666.26941","984824.8393","2616567.99677","1616939.13724","1019796.91448","1624463.22421","787198.34618","737474.73403","1572689.71661","1607095.8025","0","965499.37397","1738620.25242","2411004.27777","2271363.47476"
"137.0707__495.25","14281636.59478","21989304.97864","7211631.79402","13169765.70595","13424445.2649","3618850.56208","9404084.38231","17648712.1073","7118634.55858","7882161.44114","8835249.73999","5471736.2377","6862700.96655","9788728.15876","12954753.6365","32289454.98087","6725639.06634","45044387.44488","6910284.7577","6160327.53178","27540865.41926","13058628.74236","6519806.5549","15372877.12469","17403774.6243","3992699.84125","14677314.08012","6386775.928","16591496.89465","23645363.66836","13402794.58707","16230809.53232","404909.97911","429669.70305","199634.15689","255897.22175","579823.74903","725394.32276","561257.04565","139588.55513","520803.22649","608585.25034","346929.08358","532584.73015","949745.43799","487903.83327","261253.53139","500012.3573","221655.13159","408315.67279"
"137.0789__419.85","876598.72353","965373.26531","582721.56193","485395.99413","718623.23416","1248851.0687","1090396.72882","163308.70359","1344608.20328","926891.59428","1064320.73161","1067301.59005","122500.65365","163658.98197","150921.49766","1032491.71056","837562.35049","983847.09261","1186311.40163","1167524.68241","1281073.89844","998779.57655","90865.24086","975187.51799","976178.75436","2692160.07251","1023051.54624","735214.86223","1098876.89553","677001.64319","1464331.96966","1054068.27818","0","0","0","0","0","0","0","0","0","0","0","2370.1063","0","7378.84426","0","2440.76465","5798.47093","0"
"137.0958__122.76","4156098.98037","4188913.52187","2065322.2938","1977700.65887","2629477.46888","2150082.42325","4889483.33138","2322805.86781","2314124.59707","2240233.58343","1269335.32155","4531829.82753","972431.88087","1158352.94564","947935.64289","1364132.85248","2744827.94399","4165577.58475","2171241.48683","4264934.05617","1205637.61373","4407060.98192","7170397.177","6308273.41471","1892607.27477","2046476.73928","2951617.20036","1926245.22787","1984414.16699","6619684.04474","10881083.46113","2085822.81083","0","0","0","0","0","0","125415.70887","220648.51441","84640.41136","759067.71322","274574.13605","120252.87625","514049.272","802676.47948","789211.98719","1594751.58108","287113.8119","2285396.17131"
"137.096__153.25","2781920.61229","3794378.80602","982612.71895","1910761.10522","541004.73477","4715254.56433","3841863.2116","3351822.22255","3263604.10117","647655.51038","2480660.55542","5870774.60708","937019.7792","1007601.17335","961510.12502","844027.91869","834160.42376","3315239.75767","1698593.6976","3363164.41597","1021528.39156","3490585.97325","3985012.40213","4329527.51055","1140321.23612","683824.89233","1972135.52597","1085024.65393","2304119.00888","4751657.96798","6559618.16683","2270087.65869","1443705.64475","0","1066247.27545","0","0","2097680.33776","0","227664.04965","1175723.25587","412548.73719","254940.63186","1135015.22057","1026168.55649","472880.8199","491917.58186","1145038.55412","1333751.48992","1562328.69425"
"137.1073__21.83","1913525.39062","2834048.22531","1502001.03049","1469516.77697","2337960.7578","2297230.01003","2569420.96945","2127061.78494","2476643.04844","1894524.48371","1815910.19965","2280309.94393","2413858.89165","2332648.0141","2488769.89171","2808048.8106","7193663.70514","7477236.43723","5571438.62922","8024403.66404","4263873.76722","5672038.40295","5751430.80803","5520291.12053","5720176.81327","5943960.38229","4500719.46044","4800462.04767","1668536.32867","1834135.51001","1853830.76385","2642824.04726","19257279.1674","15636626.82804","278518.58713","666588.49635","745716.51659","732186.87755","1289724.7428","684828.37875","944951.85764","823828.50579","1180551.45556","1170752.36909","1310673.17289","975459.59827","1580743.64601","1313998.36664","2178816.22643","1984628.54982"
"137.1316__109","2439529.71996","1425505.96086","1189405.45544","1331332.98158","1203992.7136","0","1602395.1235","2379339.99272","214739.23536","0","1319760.02323","869921.67499","1931007.33633","1909507.57152","1696099.13878","2153268.43099","0","1280858.96697","2970217.10871","2042768.47045","2667392.8929","2626495.5155","1520912.14022","0","1278910.08183","1525302.79483","1658954.71036","1672047.88194","1981887.75806","2566664.21802","0","1926803.28382","468659.4412","336890.64724","0","209149.15181","365223.00295","1521488.99605","610130.53361","452312.17821","438848.62939","540470.19235","749222.81341","512211.25248","512027.24327","0","1052775.23573","17144.73712","443138.007","382517.252"
"137.2617__299.05","9912.14202","961317.20456","762970.42638","530454.73264","1528924.1309","1402441.9364","1825484.49472","477906.09214","6678279.07535","906370.05456","2679697.0842","2083471.91365","719095.88737","633526.48726","1230398.27346","638846.00484","1267604.71416","1794832.67551","615804.65991","1221308.37892","0","1337373.06947","2774399.81647","1475129.31549","1888269.84288","896424.43009","1398326.6282","1219031.52889","1271728.18801","1672361.16723","6424759.88083","1385033.92865","0","0","0","0","0","0","0","0","140262.52561","463045.78483","163680.9439","0","212976.68425","147737.73036","86180.7868","149079.07976","239728.16311","0"
"138.0487__299.05","26108284.22215","110317269.94364","80161947.66264","51351527.22075","110002056.10326","93314208.94931","122818547.75705","43575246.41659","423545536.64748","70309945.26779","166758138.78609","128626787.71368","64047799.03853","56910587.33509","80644248.77211","76417685.96669","64956518.94177","97475896.49984","41180818.81771","65483059.45214","83085942.22656","67356807.44966","117397070.1598","66043691.5492","95506846.78694","41836150.68801","76110340.9044","61820907.09933","83481624.72915","89618714.40319","301389940.70751","81277382.29284","0","0","0","0","0","0","0","35876105.57707","25413070.83054","39154802.71887","26952665.9222","13414449.76844","15246220.82921","24786631.80743","19364227.06644","25425193.48499","11174886.4622","7146036.3266"
"138.0525__493.53","3723509.55968","8545822.54749","4794720.79569","1365009.96363","4204182.15137","6076680.57038","9458879.85085","5141698.18985","4528977.76716","6314074.43234","20746596.11472","6245067.60866","1649083.75813","2075897.78144","4151196.06397","4919246.40908","3295203.93373","3867794.52416","10796572.71438","13607976.3139","5200960.57696","6546369.88731","13834191.87684","11272699.48511","7631244.24588","5898507.92408","5663641.00661","4276093.60995","7054215.30832","4868436.83706","8869632.83127","6784973.83109","3370.98052","3111.45104","0","0","0","0","0","7116.93225","0","7911.92512","9317.71259","36452.14847","4514.06502","38219.76079","8760.05785","20558.67506","5049.40563","0"
"138.0548__481.01","12120092.6666","1640100.98903","244800.45371","687744055.80374","760882.71634","1768794.58902","701779.28743","53173.31948","5095473.493","125614.30305","13956114.35983","900828.86258","70338293.75791","50714475.003","2748110.97456","8419906.68107","1321982.59789","15593534.17339","81382.69325","1066423.30361","13156021.22839","1339816.63054","40167.81671","13692169.95027","1161486.0311","45909822.97914","25909784.97174","358270.06008","28090365.4537","12203721.32379","59477.69861","27669899.08264","2454864.20824","3558033.47332","1067146.39913","7399977.64042","10475124.50356","4241328.10942","3822556.85179","2161758.77211","3368001.42527","3466430.22397","2076655.29722","3247146.74903","2816605.96169","6202997.20623","4530670.22354","1806685.74918","2535998.68567","1148864.52434"
"138.0548__263.72","3700357.07204","3202730.46851","5063738.32022","3105040.21944","3813198.08144","5557776.02565","3331016.36386","2026457.59728","2133007.82953","3002136.79713","4282647.21804","2399269.56695","1982149.73264","2278746.21138","2136343.81678","2573903.00127","3655059.14027","4616161.7056","3299364.45656","2579835.21308","2160873.26791","3210920.13654","3356765.00123","7133053.4493","2173109.54669","3166386.27639","3525224.90762","3875128.3636","3404018.51603","2990642.40972","4207741.0156","3607749.83971","30933.18772","36527.3322","34920.56425","10464.8571","0","0","0","1308398.35285","1604855.06105","1176334.10396","1262241.54817","1587543.30336","1984919.36947","1581399.04207","127454977.06343","1090244.40373","1364552.22943","1165559.1094"
"138.0549__337.25","4076063.37693","3891061.33825","11308654.66374","4187086.10103","3876963.12167","5923834.61064","5213584.05662","2419430.35272","4627929.09453","4551897.38904","5980604.39989","3824916.48573","3615376.3761","3663004.20375","2632184.8856","1508471.90757","7831365.88457","5132953.97989","4701403.81625","5921617.74056","4391215.35238","2958007.12025","10610103.07994","8629375.4304","4201685.50127","5800472.43366","5037877.16332","6217209.71982","2888326.38394","4119963.23814","12494353.42208","5347360.77487","8282.27126","71778.09965","30142.12994","3928.49256","0","0","0","2221881.47877","1826979.66934","2318925.55924","2429835.28832","2040081.66279","2698919.14504","2696088.01145","6712727.41451","2428083.20449","2972946.41698","1671099.86386"
"138.0549__536.64","334629892.8073","313287.64603","3147372.56735","296232151.89553","3008598377.48645","54127871.86965","199955301.13181","83168470.43648","584248741.44011","157833509.42094","443079760.94314","682649457.89024","211364921.92618","69221630.58224","24612191.41936","159610137.90686","12954518.01708","112056842.47751","121560758.14703","29317438.43134","119406054.6609","34570511.50247","60914017.331","26279833.44167","40375600.76335","36614844.04299","186577514.5758","159954741.60344","213423983.54568","238983958.34324","83004515.4475","206849723.59574","159447.31975","7613846.99831","51542.77019","5456108.09362","3305898.03036","0","18232656.85234","15660217.01951","6596963.82951","11240858.34187","2660276.23922","7141106.71545","14038810.70401","61304452.56017","5825309.65763","5969989.0233","1394777.89982","5067243.16184"
"139.0499__299.59","1986104.74474","6846989.93457","6217982.87229","6074144.10928","7020283.74522","7983940.25685","9157932.5992","2966554.01186","19094178.47658","4487269.31997","11326128.73143","7710026.25868","4225904.49335","2919271.80389","5337481.11304","5160698.77988","4845943.63444","6721875.50785","7058240.75441","4296235.36982","3952906.19909","6497346.42152","5377892.46148","4673811.24166","6461907.25449","3385259.28179","5247242.54621","6285696.81281","7501551.10014","5844563.19921","14925576.95915","6091024.00451","0","0","0","0","0","0","0","1424894.13744","1849938.95754","2443296.2289","2264889.5889","1488267.14136","2002211.05242","1406355.58899","1477133.49592","1838588.04024","1830178.78117","1742387.1119"
"139.0501__275.06","6906649.31037","4755210.04856","2542691.61466","29608826.43708","5038843.39687","5988258.49373","28278830.20796","5082202.35747","27430037.96413","1927193.26617","4231633.31269","9809332.40808","5579389.80861","4999402.58802","6266342.32355","7218758.21073","7880124.82876","13703059.07932","20681602.94969","13991464.96868","12585296.11731","10648246.28557","13367426.69077","4658933.53708","6404617.00929","11377630.30784","8250721.95563","4034062.33557","11405574.57529","11317571.34835","11184328.47198","8444153.71371","25644.51823","119061.81028","4983.11438","0","0","0","0","750111.21832","2269286.48517","2690995.45989","6174331.86901","1736621.32612","1809270.33032","1475750.9952","42652842.44924","7528503.95909","1348564.18869","1272647.11536"
"139.0582__536.52","23895721.2032","85224742.52735","105968.32728","21955253.2165","224563847.59285","3511254.57035","13470764.44281","5591416.50542","42683912.00348","10415676.97947","32156456.81161","50300196.51385","14581589.64625","4357187.67857","1454410.44407","11022466.5935","777580.30402","7347439.42172","7598502.87273","1810153.87704","7632905.49195","2094687.75908","3950179.73317","1458352.57155","2432214.02146","2120020.80596","12316813.62454","10573984.34633","14418805.79108","15898078.9185","5094830.39005","13893303.78773","5558.22226","32016.39795","0","0","0","0","0","451151.65879","310331.18398","529539.1897","4018.39783","306561.32386","796801.89929","3175285.84972","275149.00357","402020.32443","4112.80542","242536.9174"
"139.0755__123.94","6278029.91343","4530754.54105","1346155.54894","1157551.70638","812577.14233","4856495.80625","5732441.31571","5559981.0235","4343304.41909","1100308.2727","1281680.66816","6597753.09635","813321.2044","619755.31698","642321.12041","1676627.87743","8237945.3875","5364852.40093","2508626.09309","5415330.36177","851347.393","4887381.00377","4968216.12967","1887121.92799","1045123.66234","1324376.01744","3493607.05963","1129585.30218","4267046.63541","6665848.71914","7389401.92797","4591556.71634","2930132.81882","2760395.90854","1564072.96038","1005504.45567","8548.83411","0","0","4448368.82673","4098700.87284","3157253.29113","4520244.6999","2206526.21359","3888688.29698","3517471.20727","582155.36361","2569074.4816","3503798.64703","0"
"139.1229__22.04","322926871.57449","454552242.23509","327652770.34396","302228302.77729","539900196.32801","502717005.96468","543563367.2979","614194164.2282","625292006.58097","418806498.2908","608344338.85692","662721300.39031","200240.03444","643164785.43315","622823511.64944","578290672.01383","279303615.17995","273069934.33713","261547062.2751","287647044.70265","362209492.49155","247602902.15197","212015081.73408","194002546.17576","179240849.59828","183841579.6394","369841648.24844","358906605.29127","50433581.47764","64326481.76573","78756561.55981","243582050.23291","32103775.92866","18509465.98505","29057092.6651","25713489.58301","37553512.08122","31135840.87342","1226379.59457","74258932.92289","93710713.88039","48047186.41871","105521145.66219","96572881.00959","107417563.18257","90882158.88978","120141270.10515","98725052.0353","133694598.88416","106334789.72187"
"139.9631__20.16","639254.01059","417483.19628","646709.65","577429.48929","506412.201","794821.58553","391632.00382","470538.59602","406394.64428","263572.49296","360751.15323","540958.66638","426754.45053","387512.02037","410590.19936","365259.06449","571470.53759","523751.40278","612905.48275","518197.64541","379120.34406","537920.67268","601151.56888","543489.47441","564957.98313","679022.06075","539415.76472","546405.72616","298035.31884","302336.73179","298243.03035","336044.22582","242.66228","7023.19503","10020.0532","2826.78683","0","287.37408","230.69068","20421.53643","57395.48111","30341.38463","0","21298.79454","0","0","21962.8662","0","0","281.41172"
"139.9878__508.55","43185460.73506","34014088.50207","43990108.23427","38269634.01243","39693102.11137","41078424.16605","38335924.79268","40679030.05815","38413403.47787","39487597.1271","38932133.77103","39868729.29582","39027593.67611","38327533.59385","40357896.48386","38144258.28174","40476913.76736","36123336.57235","34289723.80183","29433328.19575","19235804.05695","40118371.61876","40327125.33579","35555540.94221","40105666.09008","36070951.25977","39836847.72973","37701416.83942","38905565.10461","17714471.26393","36230705.50941","38759262.34153","0","0","0","0","0","0","0","31629507.64237","30874227.63288","32946008.63629","31005777.56876","32679183.07824","31500773.78482","31694788.33962","31061158.90426","31428238.73811","32686212.09266","20291104.06251"
"140.0106__113.42","882932.77163","1034041.91804","1025736.39806","1119889.68504","1100351.97429","1012965.73636","522332.37263","841138.92638","384188.44919","1240697.87659","1029219.54462","816387.6107","1025745.176","1077032.73802","294350.64142","216429.06408","178515.24149","101541.44864","41005.79138","67567.91133","102708.08615","116007.55812","65508.12464","57255.6316","251889.91611","134222.8695","97139.03765","259339.95643","178202.9991","158851.98104","0","95653.19558","7334910.46148","7410143.02882","118048.41295","0","0","0","151059.93116","258772.42566","0","321413.59798","96121.63659","0","0","0","145921.38338","0","0","0"
"140.0375__356.63","945746.56052","7151330.69203","0","3578677.98081","0","14571287.15078","661045.52009","0","335381.86477","2648778.97868","163045.36235","0","1923836.42484","155986.69153","0","1804323.5612","0","3761329.70393","6702737.51373","340251.56663","274805.71491","377032.34943","510246.12898","0","17453119.44193","1067683.10317","1559141.43056","0","1634391.27439","2715393.98207","1720209.60072","1761220.79295","0","13758.9019","13852.54765","682771.81233","0","0","0","215751.00895","188187.53897","0","439827.04758","69208.18491","274171.4904","907937.13269","570197.14332","464483.48709","293725.0867","6913.30872"
"140.0681__541.92","71703631.82516","81228710.1274","72617511.64","32643941.62384","31500981.50367","45918410.98739","61416624.33576","41998886.09158","34505120.61338","49916819.91881","55578589.29306","46101464.79741","66528596.41862","60357197.4519","58398964.3247","38640507.01503","29616048.41796","74781331.60581","68668169.57847","49117472.55721","50268764.86788","56731749.6521","28474900.80167","69185849.79025","36933487.07441","86317470.61106","40190869.01392","38670854.27686","52513728.31581","63706417.71251","39821442.62447","61201432.18627","0","11575.30768","5868.19486","3516.41422","0","0","0","573251.62803","868072.75853","537771.2063","934693.54178","666495.08819","998179.30006","691368.36576","583069.18487","1525500.84978","390254.68288","406129.2549"
"140.126__21.58","27857375.75594","37183246.58035","25206104.4323","23810511.08957","44281213.17112","42296789.99325","50679362.44333","50804231.08469","46712284.81962","32901519.33382","50038086.28032","55885690.09967","51817022.35354","51659584.87553","50179169.90775","51970205.75972","21666426.24465","20924210.96238","21251293.95966","23173630.40417","28599172.8715","18423865.51947","3875277.71348","14231196.45393","13658659.50045","14837205.95498","3480139.01412","26939113.26039","3876704.3263","4575326.19829","6109167.05205","18907878.03773","11782382.18464","10184936.52455","1292985.96624","1049654.60958","12966677.57366","1075526.51824","1762407.9273","5741591.03977","2137373.73047","2492954.21092","8343309.99426","7554746.58869","3362285.3731","7019639.9209","3724234.52013","8042507.52979","5648445.45124","8075635.89334"
"141.0406__265.83","3241860.30485","3269839.33467","3260518.26581","3270110.8918","4046729.80097","3022656.2402","5839857.23528","5628006.21946","2160120.43198","3306872.50796","3182106.02076","2823441.36365","3067444.90683","3119700.19491","4514274.62497","5685316.30545","4832320.26968","3885221.03487","5409738.98842","3799552.90348","4703118.00247","3718826.31762","2657958.50408","3642161.48348","2889669.07301","6244164.1041","3238807.25086","4067816.80777","3769920.06564","6027619.06306","2333178.80952","4436958.03808","28274.52987","71555.9774","16080.64672","20982.39369","0","0","0","1267416.42373","853103.20066","996595.55904","1724842.62698","925348.19896","972915.35912","1665354.39923","1789607.99307","1888247.52896","1098317.29094","643950.10551"
"141.0406__158.74","24049653.68604","27403392.12248","27077522.91068","33182241.92965","27267705.99123","33054372.42838","63200533.69793","45178281.24062","19528771.13722","33943476.09823","29252787.83826","23314289.15141","32571898.19961","32576793.56244","38636899.80362","48950047.64847","39972133.93069","31016044.5527","48802523.27654","27531428.32275","41080846.34464","36386683.09318","18351252.27044","28675149.21578","21431673.3504","28242769.93339","32379997.16204","28406844.53365","32873390.00578","39758865.71507","8123371.1662","29313458.75245","0","0","282868.2989","363106.16604","0","0","266948.5787","371178.41438","309165.44278","26944749.73917","32171340.54679","28116079.52549","16418718.13639","40185602.42544","33642027.20096","45956838.3294","26914073.58882","27254871.34708"
"141.0414__146.94","7786064.69331","8444579.00174","0","0","0","13018981.40398","9022810.12007","8956592.63934","8183656.33049","0","0","0","0","0","0","639137.47215","0","10189793.47034","4095024.4408","0","0","10045004.04689","20845270.05518","10827997.76398","0","5053790.05495","6563369.28528","0","7440850.19999","10918892.95193","28811497.65313","5724245.19699","12765927.6784","28318345.88571","13011681.41095","17312942.98259","17992408.91565","22660523.24869","19076737.48697","32004769.45714","27316479.70741","26040238.89832","22471823.5635","27634148.80318","11753699.47787","41477635.77092","40311774.17519","231574.814","22962108.55189","29541214.14853"
"141.0545__123.41","7711371.41026","9273592.29282","1612576.16871","123756.02223","1396229.28399","4031792.10653","10773126.14785","13063111.30688","10083961.62119","121209.9339","1229032.59427","20480504.76169","95748.58219","101559.80565","1012531.3364","1127246.35633","69370.2594","1022017.13166","3444193.36859","10717767.69145","170113.51505","9575037.35056","4318313.90963","7975451.36056","73916.0913","1135955.2511","5124815.57496","1043342.17557","8081313.4248","14524082.7926","918058.63224","8060138.46464","86339.94801","950558.88413","821604.60212","13917.55967","1176796.22842","1189855.93794","1632809.04489","122472.97239","423436.36612","129335.89438","18061.32134","650504.70796","576712.51874","1034784.37938","157237.97453","1081147.64747","643473.08471","461576.42908"
"141.0658__536.01","18768234.14009","47455351.97388","2601321.3851","60006494.1784","27772764.90513","17831458.42087","103233052.13569","9546641.66375","9947605.50503","15280692.21776","14713147.32449","26684941.62393","5270815.1712","4678346.81052","13721225.01508","40838663.16919","5437220.57942","41844489.21499","45291144.30397","3026220.05713","15413380.299","23372256.88224","3096641.91093","101597005.50271","21351749.96742","21116606.17881","22868565.92427","8187780.69971","27739082.1134","31144190.7606","5736127.6497","25895513.32455","53112.3347","0","0","0","0","0","0","645680.648","895933.44385","350424.22688","1296379.77676","1104613.81894","1098071.41969","347934.37068","1441989.34972","2287792.79006","943815.52885","453191.29767"
"141.127__105.94","1080648.73308","298755.7344","783800.07045","580543.33917","640539.81758","145115.54553","376680.74801","1963510.43476","95221.05854","848916.08016","1093680.84919","655581.56792","1150581.34596","1217786.0407","608863.10403","923672.75468","431199.0237","152472.96263","2212254.06859","1142529.45528","1570948.97532","1082896.10367","51142.27947","49888.20593","122843.07952","998811.96604","658375.44297","414146.72565","389083.04981","1334943.69506","79690.00454","983586.84718","0","1273687.46194","0","0","479609.98028","0","702812.10464","1406430.99479","341181.92562","607680.51713","781850.45985","639077.97503","1676121.2126","735493.42958","1122872.96583","800351.63534","7187.30896","670141.22582"
"141.1384__21.89","25831271.08864","41378648.4767","22714618.07868","785287.13689","50420724.40293","50475430.29775","62535448.10094","58597038.32688","64947752.43405","595552.5573","66019594.4865","77589587.11266","699418.86241","75009849.46692","75234488.4321","83128363.48029","35100455.11642","33649345.96893","35783657.70303","37959959.01248","37387582.60331","35480610.78656","32842933.02479","36321672.26487","31154136.44456","33831000.13836","38990943.00602","37149623.58156","5135884.29453","5833903.33775","7662143.94578","16777046.92044","46541196.34985","28069281.72983","22575299.93468","20849054.46423","40997343.79079","1879616.40188","1839734.27319","63060913.7127","62552028.49884","1391796.22055","62854211.94303","69179585.89743","62496282.5449","61392151.79282","60126852.78872","68169463.10545","67501158.54415","68837047.1789"
"141.9833__508.29","8742917.58012","15089760.29849","14481716.6364","14173940.68186","13488354.61693","12129496.6984","2379081.87504","14269443.9432","14482032.49958","8354173.7897","8621232.114","13265676.36292","14219442.65128","13631885.81494","12976996.01668","13691565.22344","11135249.3567","12091351.39608","6112950.09607","14629468.11065","14510489.37945","12856145.59196","13157300.30917","7640423.6001","7018449.42258","14147823.57433","15140658.60922","13306389.14497","5282349.81361","15427450.34068","7527656.83904","13999066.56128","574560.25871","301910.3667","185217.10962","166471.41189","73578.18794","25795.31428","22805.31342","10055360.5523","8344473.29355","10249773.71754","9828917.00704","10876582.95741","9700104.93707","9555962.01044","9728008.13134","9984276.6443","10735839.22232","2587506.9981"
"142.0475__387.35","13325102.76652","6084984.91101","13896395.36854","3385454.02923","1157540.14836","11996125.84922","13022286.32014","1083633.66357","14044336.05491","13818182.11713","2449087.44777","1000061.08953","7973950.02799","12452610.87373","1423585.48709","14616848.18846","662367.2439","3134646.88302","12763528.33672","490746.7605","1484092.54548","1255968.98826","245276.47061","2191707.2105","1592847.62029","1604304.96113","1149826.46707","723270.22112","6101782.09858","1127870.82932","561001.14952","6776852.51103","14061.46498","17720.67995","16468.85194","1290658.33601","0","0","0","58114.78336","58513.414","232991.07929","9866690.92673","191094.08587","118772.93369","193065.87799","181999.31251","322483.90931","381662.52486","22163.98793"
"142.0609__267.56","919840.3645","306373.73737","212781.45045","93410.83254","93255.37679","623635.82974","180106.54156","35541.3554","17178.1513","825681.33306","118863.91835","45538.92634","33455.14511","665748.14587","1602806.6502","1619102.51257","30611.76152","131322.60929","1734690.85409","1275524.66872","1311001.73571","868214.7243","91279.63377","1353500.8805","767444.74954","2008893.84858","977106.94443","1041112.37378","953062.13142","1173012.74692","38186.08713","3784.44625","4065.49753","415601.2094","377630.64451","406872.65976","309340.98124","330958.40057","462698.65655","32009.72161","383418.1936","768375.63943","687661.46794","517960.98448","893290.61188","478029.08505","611034.23503","544165.28521","687025.52296","638713.80204"
