"Sample","0006_Marios_PD1_Inhib2_HP-AF008975-8","0052_Marios_PD1_Inhib2_HP-AF581651-8","0079_Marios_PD1_Inhib2_HP-E9099271-7","0123_Marios_PD1_Inhib2_HP-E9665082-7","0136_Marios_PD1_Inhib2_HP-E9657534-6","0166_Marios_PD1_Inhib2_HP-L1381809-7","0171_Marios_PD1_Inhib2_HP-AE613362-6","0191_Marios_PD1_Inhib2_HP-AD645855-7","0199_Marios_PD1_Inhib2_HP-L1379654-6","0220_Marios_PD1_Inhib2_HP-EA717427-8","0236_Marios_PD1_Inhib2_HP-E9172349-7","0257_Marios_PD1_Inhib2_HP-AE428479-7","0267_Marios_PD1_Inhib2_HP-S3717262-7","0268_Marios_PD1_Inhib2_HP-S4035312-7","0284_Marios_PD1_Inhib2_HP-S3672129-7","0343_Marios_PD1_Inhib2_HP-EA563624-6","0400_Marios_PD1_Inhib2_HP-EA305478-7","0408_Marios_PD1_Inhib2_HP-AE861579-7","0410_Marios_PD1_Inhib2_HP-AE913731-7","0418_Marios_PD1_Inhib2_HP-AE522916-7","0424_Marios_PD1_Inhib2_HP-S4102914-8","0446_Marios_PD1_Inhib2_HP-AE794300-7","0488_Marios_PD1_Inhib2_HP-L1443430-8","0495_Marios_PD1_Inhib2_HP-AD775401-7","0506_Marios_PD1_Inhib2_HP-EA720987-9","0533_Marios_PD1_Inhib2_HP-S3510221-9","0540b_Marios_PD1_Inhib2_HP-PREFB28","0541_Marios_PD1_Inhib2_HP-E9070705-7","0560a_Marios_PD1_Inhib2_HP-PREFA29","0577_Marios_PD1_Inhib2_HP-AE002908-7","0587_Marios_PD1_Inhib2_HP-L1357306-7","0600bb_Marios_PD1_Inhib2_HP-PREFB31","0619_Marios_PD1_Inhib2_HP-L1479330-11","0620_Marios_PD1_Inhib2_HP-AE645251-7","0631_Marios_PD1_Inhib2_HP-AF048321-8","0640_Marios_PD1_Inhib2_HP-AE506727-9","0730_Marios_PD1_Inhib2_HP-E9101839-7","0735_Marios_PD1_Inhib2_HP-AD267750-5","0740b_Marios_PD1_Inhib2_HP-PREFB39","0843_Marios_PD1_Inhib2_HP-S3606424-7","0860a_Marios_PD1_Inhib2_HP-PREFA45","0880_Marios_PD1_Inhib2_HP-EA083054-6","0882_Marios_PD1_Inhib2_HP-S3862083-7","0900b_Marios_PD1_Inhib2_HP-PREFB47","0910_Marios_PD1_Inhib2_HP-AE606326-6","0919_Marios_PD1_Inhib2_HP-E9106380-6","0937_Marios_PD1_Inhib2_HP-E9540924-7","0947_Marios_PD1_Inhib2_HP-AE052722-7","1108_Marios_PD1_Inhib2_HP-L1381844-5","1177_Marios_PD1_Inhib2_HP-AF575413-8"
"Label","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi","Checkmate_Orbi"
"72.0815__453.33","21113477.09531","27364157.42678","21842186.51391","23275674.39972","23564949.23345","45322921.23101","31381683.61999","34718329.17832","41176505.54902","31574770.47733","26550410.0052","35564213.63856","25468579.69175","36592255.90583","32543105.99944","45664194.99719","26848160.77169","27989581.75673","26225685.35871","28358107.32788","26961430.02901","30780373.61097","33779761.81196","36449335.88198","29907140.78808","52619209.98286","29330052.49051","23280561.91584","30090671.17391","42917451.60303","26237731.34773","29863963.29214","197541.40995","79549.5289","66994.24622","0","0","0","0","4909936.6039","4720496.81626","5700404.63454","4987007.993","5231853.70983","4894365.49838","5983440.27946","4823509.41208","5048346.47964","4565485.02056","4397600.57473"
"72.0815__21.92","42521573.37517","19882646.0782","11047092.22616","11594599.61915","26506919.35054","19308360.28837","23942673.09374","26898849.15307","30970959.85898","14386915.91975","30659181.08905","33165736.59287","32189216.01501","38253392.78791","38765535.05884","41283565.99769","44815861.46636","44518249.22838","42494573.20631","41315473.86247","43094191.87916","40033405.90757","38629993.85735","37371893.71893","35952839.39478","33451704.43599","32773310.94967","32332581.02822","17003409.1022","16326241.86247","19851395.46459","25458540.24838","15320301.51453","15914861.70637","72153349.83253","80671787.37317","100831960.26486","76284630.34662","102678433.41678","231429426.67845","188395589.81015","127194032.16236","194745418.62991","256073066.13751","177444836.08597","238716725.09875","169663133.79312","258695599.95441","206911706.14606","224448075.72168"
"72.7032__104.16","220416.41371","472827.74223","757649.86334","1279422.90116","478969.07467","705256.56038","552896.2255","502303.89314","802773.98183","793468.61511","634400.19052","334042.43482","221004.38679","239275.73852","337553.93272","1121801.6798","1155340.9371","1063525.04295","1493946.45134","1120757.71493","1259451.90797","933580.65109","1002723.59037","1423045.0703","1644854.41137","1410795.96155","608765.91202","1839577.62847","191559.0833","1442034.92763","770978.11457","123185.49292","50034.53166","59740.58684","62482.39556","6510.33693","366003.32928","0","0","388901.45617","149597.29176","537551.59614","324962.54785","226686.77046","248778.00653","754740.17489","478782.41917","400635.12906","642757.53306","100733.37325"
"73.0848__21.76","1791014.93387","226989.50544","238308.31642","128001.89901","262542.49978","124478.00148","162760.50539","124303.47957","97143.38822","80267.99476","1942151.75232","108108.38182","1088942.27209","367783.4794","1029068.16957","391393.77838","1576054.85636","1447466.01076","4941.89115","1431371.99846","1578604.71272","1262030.74238","1379476.05547","34529.95823","1387023.00953","549631.54031","678426.22477","1000877.5537","84836.54887","500536.77541","0","831907.97698","36519459.55092","39490962.92544","3671517.53086","4227105.92799","9933240.62337","9770825.23127","5362561.97082","12973112.57102","10647745.72009","6937004.02128","10560580.11088","14516588.91937","9207221.26081","13354344.2262","8787931.27508","15016110.59461","10917865.27649","12327061.26461"
"73.0848__453.47","842351.13541","1095413.54642","888928.86985","913120.43127","911661.06711","2088454.55938","1266275.63518","1472786.53017","1623205.71111","1339529.07683","1076079.8903","1614490.82235","976811.35338","1590545.6376","1390415.23034","1972824.57674","1056384.84909","1072404.78023","1028567.92748","1218233.89548","1091487.18467","1315452.19677","1352337.60545","1543745.8962","1294469.47286","2354315.40566","1234351.112","877498.01412","1235622.21223","1784346.75932","1138338.81165","1232858.76464","10333.10955","27849.9799","3199.68131","0","10900.86697","0","0","62111.49628","73905.05333","75452.0318","58639.50381","67872.38533","83590.33524","93121.92949","70369.06341","53948.19798","52108.32208","48611.2349"
"73.8422__101.18","6233.17307","67543.5556","78934.59297","0","0","501975.03702","40289.70391","67479.43915","53662.64787","0","0","180496.30762","62747.92949","0","44031.4286","154292.93368","38051.14723","83225.99382","0","69300.75348","0","114387.93844","334189.99261","48775.2773","141502.58303","266968.41579","78810.73988","120724.84811","62969.58974","115076.18368","290884.71199","112503.89621","0","40987.89597","0","27259.76196","0","0","0","46146.37296","34514.20057","117615.09486","0","48364.76674","80270.8065","34339.90055","69775.73882","76082.20029","60631.17609","0"
"74.0607__467.15","3913622.23566","3188445.76641","1954889.48795","2726849.42367","3533769.67097","2670448.24546","2499777.44103","4174331.38932","3177118.77543","3566017.11","3939325.83608","4387314.93842","2324710.74716","2605032.54794","4112437.97556","3336350.56024","3101878.56135","2881269.49465","3994456.14983","3929953.78557","2119629.00982","3485775.91864","4184852.73924","1971763.73364","2726817.37184","4583223.4826","3203859.99247","2778599.38077","3281856.88387","2876307.61181","4757792.46463","3172033.98324","87384.45273","132052.52444","0","131460.14602","0","0","123118.3522","109887.12027","563954.93413","518786.34327","977364.80369","711668.86521","56560.38193","654326.00599","451512.48449","111214.34224","489666.3017","703596.74045"
"74.097__22.61","1324035517.69533","1743777759.74937","1210704326.11254","1162521547.63874","1020958.75166","1521478102.44946","1769718553.83613","976293.58814","1878502827.00041","1019734.81293","1332557.43374","1324251.33888","1775092762.13637","1977772173.77928","1433375.75319","1748819.31023","2515408.28054","2658972.4632","2669769.76232","2293235.86193","2699508058.76076","3159402.10289","3009534.79043","2354290309.62402","2290550105.95196","2801983.09818","2356360.93748","2468688430.72238","1762488.77412","2170140.2861","2464207.20684","2235383.05689","33398971.84384","22964939.38458","1059561.04105","1607459.03952","1130366.81383","1928999.30684","3701153.55886","454306182.78812","492166639.24777","1516839.18348","511756279.35283","521715790.98012","537843711.86512","518352083.78984","564554074.75936","819890.42817","1138198.59333","590033649.14889"
"74.0991__89.14","929075252.39142","4943091.46643","2529200.78874","2475971.96958","709759.56078","1516280.40026","13756098.49675","850660.54155","4249039.46247","3940480.93627","4893730.51661","1752681.94608","5191006.28661","2184063.83965","824378.27529","117626.98514","5124867.07828","609326.79011","4883323.77396","5035732.51513","4971471.13147","7273916.97344","4549293.99384","3203159.36413","8470705.14003","800280.93907","4563383.86068","4495149.13337","2251427.86428","2959258.38311","4323255.96574","2798131.22487","0","4117.25701","0","78159.77665","2335.68808","0","29164.02082","66392.42869","53510.66246","162624.42998","22787.57375","48893.34511","92478.79713","54032.98441","51591.6331","67454.08916","56818.46126","70827.15791"
"74.1829__22.68","635552.40728","1101529.39505","906507.97049","1125208.75481","1812126.69287","1539273.73247","1933878.68808","1870750.36083","2046070.14273","1668516.31448","2101954.39468","2214405.59176","1967657.43198","1953287.91008","2235978.86427","1411424.65466","4382017.78971","4469661.78696","4051053.47005","3649686.73431","5207.78977","4344144.18068","4151978.32987","4117116.64918","3504864.53719","4129139.14215","3669550.2619","3574268.31865","2838250.33693","3391523.83324","3721528.92544","3606923.75043","0","0","196318.47798","323428.69462","0","0","0","0","496336.53796","597566.59147","384489.65133","0","555975.32473","619008.25405","432810.89694","565675.20721","927610.61932","6267.2137"
