CompoundName,ExperimentType,Compound Type,ChemicalFormula,Category,CAS,Ionization,ResponseThreshold,Internal Standard,Internal Standard Concentration,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp
L-Citrulline,XIC,eTargetCompound,C6H13N3O3,,,ESI,5000,,0,,176.1027832,,+,1,3.10660145,60,15,,
L-Citrulline,XIC,eTargetCompound,C6H13N3O3,,,ESI,5000,,0,,176.1027832,,+,1,3.102195438,60,20,,
L-Citrulline,XIC,eTargetCompound,C6H13N3O3,,,ESI,5000,,0,,176.1027832,,+,1,3.109224986,60,60,,
Homocitrulline,XIC,eTargetCompound,C7H15N3O3,,,ESI,5000,,0,,190.1184845,,+,1,2.958604134,60,25,,
Homocitrulline,XIC,eTargetCompound,C7H15N3O3,,,ESI,5000,,0,,190.1184998,,+,1,3.650738252,60,30,,
Homocitrulline,XIC,eTargetCompound,C7H15N3O3,,,ESI,5000,,0,,190.1184845,,+,1,2.953693823,60,15,,
Homocitrulline,XIC,eTargetCompound,C7H15N3O3,,,ESI,5000,,0,,190.1184845,,+,1,2.949288609,60,20,,
Homocitrulline,XIC,eTargetCompound,C7H15N3O3,,,ESI,5000,,0,,190.1184082,,+,1,3.542521774,60,30,,
Homocitrulline,XIC,eTargetCompound,C7H15N3O3,,,ESI,5000,,0,,190.1184845,,+,1,2.956600864,60,60,,
L-Carnosine,XIC,eTargetCompound,C9H14N4O3,,,ESI,5000,,0,,227.1135101,,+,1,3.874911018,60,25,,
L-Carnosine,XIC,eTargetCompound,C9H14N4O3,,,ESI,5000,,0,,227.1136017,,+,1,3.839274012,60,15,,
L-Carnosine,XIC,eTargetCompound,C9H14N4O3,,,ESI,5000,,0,,227.1136017,,+,1,3.838072502,60,20,,
L-Carnosine,XIC,eTargetCompound,C9H14N4O3,,,ESI,5000,,0,,227.1135101,,+,1,3.873293165,60,60,,
L-(+)-Arginine,XIC,eTargetCompound,C6H14N4O2,,,ESI,5000,,0,,175.1188049,,+,1,4.081649475,60,25,,
L-(+)-Arginine,XIC,eTargetCompound,C6H14N4O2,,,ESI,5000,,0,,175.1187897,,+,1,3.703280968,60,30,,
L-(+)-Arginine,XIC,eTargetCompound,C6H14N4O2,,,ESI,5000,,0,,175.1187897,,+,1,3.663734739,60,20,,
L-(+)-Arginine,XIC,eTargetCompound,C6H14N4O2,,,ESI,5000,,0,,175.1188049,,+,1,3.713676172,60,30,,
L-(+)-Arginine,XIC,eTargetCompound,C6H14N4O2,,,ESI,5000,,0,,175.1187897,,+,1,3.668141769,60,45,,
L-(+)-Arginine,XIC,eTargetCompound,C6H14N4O2,,,ESI,5000,,0,,175.1187897,,+,1,3.672319844,60,60,,
L-(+)-Lysine,XIC,eTargetCompound,C6H14N2O2,,,ESI,5000,,0,,147.1125183,,+,1,3.946937387,60,25,,
L-(+)-Lysine,XIC,eTargetCompound,C6H14N2O2,,,ESI,5000,,0,,147.1125183,,+,1,3.943011036,60,15,,
L-(+)-Lysine,XIC,eTargetCompound,C6H14N2O2,,,ESI,5000,,0,,147.1125183,,+,1,3.938606226,60,20,,
L-(+)-Lysine,XIC,eTargetCompound,C6H14N2O2,,,ESI,5000,,0,,147.1125183,,+,1,3.945199313,60,60,,
L-Proline,XIC,eTargetCompound,C5H9NO2,,,ESI,5000,,0,,116.0704422,,+,1,2.433539639,60,25,,
L-Proline,XIC,eTargetCompound,C5H9NO2,,,ESI,5000,,0,,116.0704422,,+,1,2.423696909,60,20,,
L-Proline,XIC,eTargetCompound,C5H9NO2,,,ESI,5000,,0,,116.0704422,,+,1,2.428111655,60,30,,
L-Proline,XIC,eTargetCompound,C5H9NO2,,,ESI,5000,,0,,116.0704422,,+,1,2.431495466,60,60,,
