Filepath,Sample Type,File Name
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_85.raw,Unknown,METAB01_Smpl_85
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_52.raw,Unknown,METAB01_Smpl_52
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_46.raw,Unknown,METAB01_Smpl_46
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_47.raw,Unknown,METAB01_Smpl_47
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_53.raw,Unknown,METAB01_Smpl_53
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_84.raw,Unknown,METAB01_Smpl_84
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_90.raw,Unknown,METAB01_Smpl_90
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_100.raw,Unknown,METAB01_Smpl_100
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_3_nonCOVID.raw,Unknown,METAB01_Smpl_3_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_86.raw,Unknown,METAB01_Smpl_86
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_4_nonCOVID.raw,Unknown,METAB01_Smpl_4_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_92.raw,Unknown,METAB01_Smpl_92
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_79.raw,Unknown,METAB01_Smpl_79
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_51.raw,Unknown,METAB01_Smpl_51
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_50.raw,Unknown,METAB01_Smpl_50
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_44.raw,Unknown,METAB01_Smpl_44
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_38_nonCOVID.raw,Unknown,METAB01_Smpl_38_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_78.raw,Unknown,METAB01_Smpl_78
