id_number,mz,rtime,rtime_left_base,rtime_right_base,parent_masstrack_id,peak_area,cSelectivity,goodness_fitting,snr,detection_counts,METAB01_Smpl_3_nonCOVID,METAB01_QC1,METAB01_QC2,METAB01_QC3,METAB01_QC4,METAB01_QC5,METAB01_Smpl_07,METAB01_Smpl_100,METAB01_Smpl_10_nonCOVID,METAB01_Smpl_11,METAB01_Smpl_11_nonCOVID,METAB01_Smpl_12_nonCOVID,METAB01_Smpl_13,METAB01_Smpl_13_nonCOVID,METAB01_Smpl_14_nonCOVID,METAB01_Smpl_15_nonCOVID,METAB01_Smpl_16_nonCOVID,METAB01_Smpl_17_nonCOVID,METAB01_Smpl_18_nonCOVID,METAB01_Smpl_19_nonCOVID,METAB01_Smpl_1_nonCOVID,METAB01_Smpl_20_nonCOVID,METAB01_Smpl_21_nonCOVID,METAB01_Smpl_22_nonCOVID,METAB01_Smpl_23,METAB01_Smpl_24,METAB01_Smpl_26_nonCOVID,METAB01_Smpl_27,METAB01_Smpl_27_nonCOVID,METAB01_Smpl_28,METAB01_Smpl_28_nonCOVID,METAB01_Smpl_29_nonCOVID,METAB01_Smpl_2_nonCOVID,METAB01_Smpl_30_nonCOVID,METAB01_Smpl_31_nonCOVID,METAB01_Smpl_32,METAB01_Smpl_32_nonCOVID,METAB01_Smpl_33,METAB01_Smpl_33_nonCOVID,METAB01_Smpl_34_nonCOVID,METAB01_Smpl_35,METAB01_Smpl_35_nonCOVID,METAB01_Smpl_36,METAB01_Smpl_36_nonCOVID,METAB01_Smpl_37,METAB01_Smpl_37_nonCOVID,METAB01_Smpl_38_nonCOVID,METAB01_Smpl_39_nonCOVID,METAB01_Smpl_40_nonCOVID,METAB01_Smpl_41,METAB01_Smpl_41_nonCOVID,METAB01_Smpl_42,METAB01_Smpl_42_nonCOVID,METAB01_Smpl_43,METAB01_Smpl_44,METAB01_Smpl_46,METAB01_Smpl_47,METAB01_Smpl_4_nonCOVID,METAB01_Smpl_50,METAB01_Smpl_51,METAB01_Smpl_52,METAB01_Smpl_53,METAB01_Smpl_54,METAB01_Smpl_55,METAB01_Smpl_56,METAB01_Smpl_57,METAB01_Smpl_58,METAB01_Smpl_59,METAB01_Smpl_5_nonCOVID,METAB01_Smpl_60,METAB01_Smpl_61,METAB01_Smpl_62,METAB01_Smpl_63,METAB01_Smpl_64,METAB01_Smpl_65,METAB01_Smpl_66,METAB01_Smpl_67,METAB01_Smpl_68,METAB01_Smpl_69,METAB01_Smpl_6_nonCOVID,METAB01_Smpl_70,METAB01_Smpl_71,METAB01_Smpl_72,METAB01_Smpl_73,METAB01_Smpl_74,METAB01_Smpl_75,METAB01_Smpl_76,METAB01_Smpl_78,METAB01_Smpl_79,METAB01_Smpl_7_nonCOVID,METAB01_Smpl_80,METAB01_Smpl_81,METAB01_Smpl_82,METAB01_Smpl_83,METAB01_Smpl_84,METAB01_Smpl_85,METAB01_Smpl_86,METAB01_Smpl_87,METAB01_Smpl_88,METAB01_Smpl_89,METAB01_Smpl_8_nonCOVID,METAB01_Smpl_90,METAB01_Smpl_91,METAB01_Smpl_92,METAB01_Smpl_94,METAB01_Smpl_95,METAB01_Smpl_96,METAB01_Smpl_98,METAB01_Smpl_99,METAB01_Smpl_9_nonCOVID,corr_p_value,raw_p_value
F2832,55.0533,39.54,38.01,41.21,5873,2924604,0.78,0.88,54,64,14.8010189615673,15.514668622800702,15.83663576631755,15.785225347401957,15.896799244225482,11.1364090959523,11.1364090959523,11.1364090959523,15.343006440125892,11.1364090959523,14.809974031791652,13.390220683581656,11.1364090959523,14.843013871020442,16.82594643133002,15.267120569265074,15.993542768395193,15.478542275788785,15.806387390035963,15.50732898376087,14.684385591256849,15.732655498827429,15.47109635314106,15.928062469481404,11.1364090959523,11.1364090959523,15.434211320040427,11.1364090959523,15.44286421382134,11.1364090959523,14.71145975388927,15.022773483174584,13.944490984068628,15.407767368792518,14.87005918560999,11.1364090959523,13.808327304621557,11.1364090959523,13.320463722411615,14.823958033341206,11.1364090959523,14.742902228978911,11.1364090959523,16.139937223086164,11.1364090959523,14.13817741656995,15.269671573930651,15.860494452039877,15.33463324687592,11.1364090959523,15.419313332937174,11.1364090959523,14.542161059592042,11.1364090959523,11.1364090959523,11.1364090959523,11.1364090959523,15.572028935221912,11.1364090959523,15.170683851157246,14.263667241672522,13.149140031080472,11.1364090959523,11.1364090959523,15.0541317458971,13.322896355248282,14.821239217514304,15.319036486225247,14.60761665353944,11.1364090959523,12.710772413695333,12.136088616937084,14.134617643532565,14.524086272834673,11.1364090959523,11.1364090959523,12.934520012866075,11.1364090959523,12.20838496386311,14.432373327472911,12.43058121136537,14.29407124941772,15.346173509856124,14.4620698975814,15.10632997516782,13.886125758931064,11.1364090959523,11.1364090959523,11.1364090959523,15.766828090063296,11.1364090959523,13.52528582710727,11.1364090959523,11.1364090959523,11.1364090959523,11.1364090959523,11.1364090959523,11.1364090959523,11.1364090959523,11.1364090959523,15.505814480866908,11.1364090959523,11.1364090959523,11.1364090959523,11.1364090959523,11.1364090959523,11.1364090959523,15.094502937276802,11.1364090959523,15.970104600858049,1.9896972518830763e-20,3.1089019560673066e-21
F3008,55.0547,13.33,12.63,15.0,5875,6630310,1.0,0.97,7,82,16.434993127472488,15.008067213820391,15.798418961481543,15.506161115728956,15.942315932410493,11.42944874298574,11.42944874298574,11.42944874298574,15.648062753790288,11.42944874298574,15.25147786959097,14.51206826782762,11.42944874298574,15.424482526628957,15.957459261090827,15.164324831134586,15.914713565042486,15.247453106825123,15.576372157631113,14.9681982027328,16.282141125429206,15.406257202576471,15.43910958753582,15.660506719917915,11.42944874298574,11.42944874298574,15.745827891500005,11.42944874298574,15.068347962357263,11.42944874298574,15.613243901482182,14.903099572492655,16.075523948525195,14.70658792588264,16.10359397039278,11.42944874298574,15.589806933650646,11.42944874298574,15.644074294577518,14.835301574004436,11.42944874298574,14.696871159671268,11.42944874298574,15.409516905689603,11.42944874298574,15.07983839931886,15.787281277243624,16.116548205066938,15.04334046257265,11.42944874298574,15.480087102411698,11.42944874298574,15.654694767307896,11.42944874298574,11.42944874298574,11.42944874298574,11.42944874298574,16.97094325870436,11.42944874298574,15.077932265134748,16.972050073159874,18.5053900790658,15.637742162271437,17.3881066744513,14.379268763062814,18.089585195842908,17.468876272522373,16.761745256127675,15.932512990078854,15.449539326869392,12.429187179566254,14.757276966931087,17.256181263382505,18.604622989758173,19.662276336968205,14.42544098620654,17.063841570921763,17.773089614301554,18.997789025631096,15.49979150307295,14.759003650450945,15.033339361592104,17.624555592746677,16.758638525261876,17.57072897755274,18.918607913387035,18.039672025159376,19.288235190818057,18.99471069933885,15.340098793624728,12.953496168251938,18.458967006461968,11.42944874298574,19.98873361778333,14.67422445331897,17.297392953188293,11.42944874298574,18.22296876699872,19.89632369820155,11.42944874298574,15.43666241013088,14.911187520372048,11.42944874298574,11.42944874298574,11.42944874298574,14.920204297234244,11.42944874298574,19.152991592535923,22.39055555605208,15.64579739724516,0.37352822179087936,0.3477676547708187
F4236,58.0657,170.03,168.35,171.7,10127,242741100,0.82,0.99,3,110,21.45224954615507,20.86855965452021,20.393263307653974,20.89302194267609,21.24377492735809,21.53688842601749,22.3586734077083,22.750971766474304,20.781235553871557,21.381799880515,20.340947027577,20.55674807366837,21.01254991642832,20.71488218783203,22.25863301458279,20.20388609023124,21.934394231324895,21.03768419565156,20.81495979838918,21.569190592298742,21.76412278863524,20.587418331133893,20.678240572413003,20.835765244217654,21.696722607215225,22.20331359407949,21.240435931138187,21.965220696327176,20.753132506290857,21.819032054866867,22.20024457110784,21.041422351449924,20.98944818933613,22.07263884837211,20.82315058597092,23.11152278714598,22.48925594817563,21.18709266121837,21.68529560581617,21.43833692336161,21.96265104230644,21.979858758426285,21.61140937285512,20.926080950344648,22.257756075300343,21.62160277434701,21.476624118449863,20.99991438066736,22.48574516810176,23.01400975873969,20.78973122589141,22.40024824335557,21.324606173093382,22.764551916219716,22.49873418253525,22.665353127666226,22.8810313548884,21.749985600247868,22.07018609736148,21.08324820453157,21.84681283028043,21.21338665743334,21.4137715633585,21.84294695500467,20.44716530640561,22.47821144038932,21.349017752907244,21.245276421699515,21.448301143670825,21.07032601599331,21.553925248963463,21.17666943044349,21.798043809786368,21.40923545178948,22.856412904984207,21.59407142193635,21.12087963092594,22.482407928925127,21.06138269467614,21.352463634098388,21.16575682995334,22.34249922339343,22.04477684774402,22.25191928474702,21.61495312418068,21.581263614614944,23.0553502967446,21.013460394633487,22.13785579599937,20.884256846314432,22.05590490333229,21.76716166780236,21.703100651731155,22.099972541553612,22.04204924470961,21.78644672955422,21.90110882048071,21.870564955025525,22.01144839794203,22.79243432646323,21.203978561009,22.727373113437498,22.852663932582487,22.4976446215716,22.110167200146822,22.169542130645908,20.804387231797264,22.40588991421465,23.77004788823869,21.2883867284224,6.4741711773439355e-09,2.7905910247172133e-09
F7190,59.0734,170.44,168.77,172.12,10580,58659051,0.71,0.98,16,90,19.66590335048613,19.109476321823387,18.790891396291048,19.11373068401752,19.47491529840414,15.548256227627665,15.548256227627665,20.847584322965385,19.05972519925984,15.548256227627665,18.651959486973706,18.909956365238543,15.548256227627665,18.934550449115253,20.58111779432922,18.271087905467024,20.31192852162156,19.177621291577854,19.1464094445919,19.941118939536302,20.07983878624,18.971685188083868,18.59731944509101,19.1720907411604,15.548256227627665,15.548256227627665,19.54511780720998,15.548256227627665,19.066856317040425,15.548256227627665,20.513744419268114,19.469494611950925,18.93846803243424,20.493748292694665,18.982979999474345,15.548256227627665,20.800138678533227,15.548256227627665,19.90414422311403,19.80124159289558,15.548256227627665,20.222783106281035,15.548256227627665,19.189255908725254,15.548256227627665,20.003031063479696,19.75496201514387,19.136071378808754,20.521114209132037,15.548256227627665,18.92324656151762,15.548256227627665,19.825675312553454,15.548256227627665,15.548256227627665,15.548256227627665,15.548256227627665,19.965217789176545,15.548256227627665,19.1792862850458,19.95966257811685,18.86086088961634,19.471819323975588,19.857351237678238,17.846374740864924,20.49844300372997,19.078478945858244,19.19400918707408,19.622786405275875,19.03942838172875,19.62223547819245,19.339334168500496,20.008860585971245,19.360829029249345,21.036363645464416,19.623998450686788,19.14296622772965,20.64650980230037,18.506245471969397,19.788845407635677,18.85675182592337,20.47093556857055,20.39191100282337,20.495162117462584,19.50483074987866,19.728203875393994,21.267956971950564,18.64861336529257,20.063914217281607,19.18606166776683,20.006921566153014,19.727398968557925,19.041678432881103,19.14275759232901,17.867007562501108,19.335647899070924,19.040012425000597,19.97168302873845,19.41394159765965,20.56967277073962,18.90656741814541,20.950606775022703,21.11647132575981,20.13665451758551,19.910193615688645,20.15611502825096,16.548241173510064,20.84598031049041,19.9925486316696,18.597045628414985,0.0021910203304653614,0.0015464637030763056
F10724,60.0563,161.38,159.71,163.06,11773,1837262321,0.96,0.99,19,109,22.362680013916204,18.99042714160536,22.57503805776707,22.16253335418525,22.963335759588297,20.840857215977657,20.26809295902688,20.301427240128533,22.108003162955026,20.6429693288648,22.827846074549644,23.099655915680543,17.990429911644608,24.328063933434343,24.77747131080614,25.61282690749666,25.87916162896542,26.68570574724832,26.99990885755906,26.798974085377218,22.28429312923524,27.503989690681827,27.618331483023884,27.710158337323914,20.90265331947808,22.605013571230742,27.966279703017342,21.30732867395678,27.62958548744296,21.20355072849099,27.95184011253065,27.331216813700877,22.705276055362745,27.49115319236312,27.96882205707257,21.26013879838869,27.95337530729454,20.535810292241504,27.769673063945827,27.490991655165164,21.00081767889527,27.240586362911927,21.304878406033826,27.671524746152077,21.60961811637826,27.636982232334766,28.04165727083282,27.86768038406297,28.09693507943595,21.67597719307057,27.85728866449899,20.61677587491573,27.673218493919983,21.673911271246556,21.83723112728643,21.605025233639427,21.56233322771425,21.21029890356609,22.14617049293449,19.052590893654216,19.88901167101368,20.23605664113801,19.498203174275798,20.097449482109077,21.16071827530574,20.466730572693898,19.97073072938668,19.61957036338554,21.86040960428169,19.9230037289925,19.70423088951854,20.2100362968941,19.71647114741457,19.66418149422997,20.287218021835308,19.59585932966773,23.03302149056185,19.935348861728052,19.6232881105362,21.86412824291465,19.70588354086308,20.52046379529238,22.27367238955199,21.69021112777412,20.1082271324116,20.615772256720717,20.875177491790424,20.224612872777456,20.16145276304094,22.0662017917029,21.08435287017807,20.954677169530683,22.602088917245663,20.57627778653473,21.404066757385287,21.84486583641751,20.91261385569569,25.2372265843684,21.66489484602498,21.0315721985021,21.276447617078617,23.45280837935683,20.94697296429796,20.857573671261555,20.77235130193299,21.96512347075218,19.66383694694045,21.0970533021296,22.07293716895238,22.69124847214612,2.3399942367574816e-23,2.6980536997095963e-24
F13572,62.0607,195.68,190.8,204.46,14406,210878258,1.0,0.96,3,110,21.79606830293432,20.688398934130387,20.62007796957553,20.835882210763334,20.872210287756644,22.861241173369816,22.440861924573166,21.300111690560257,20.328195656518048,22.75581948739442,21.339479402875725,20.26521162127271,22.79572646097064,20.79029567734692,21.151002886954824,20.57765530677687,21.519798179644543,20.28968316347673,20.748339672093035,20.23921761993144,20.93313688608334,20.56395124742447,20.51495554601165,20.664274157875777,22.624778124064832,22.93853370020992,20.97930708489221,22.62260539016306,21.16423927985084,23.002031378652145,21.471301461916525,20.58459936162339,21.174143860125948,21.17922244985132,21.030945885389805,22.415646456167355,20.726576881487844,21.742738280759287,21.55107788018159,21.173636530115093,22.45958573804917,21.182609991776587,23.05630175302273,20.69350932738891,23.040494812142693,21.15186219036141,21.119333205023818,20.41578511971117,20.81702638168276,23.368052455760512,20.04578489763256,22.73924278911732,20.2797396214301,22.92036199386329,22.69541417369203,22.71223209900388,22.6846234003244,21.80651061091625,22.74538639807264,20.96809944488636,21.61131312784334,21.435448738186725,20.82399075373555,21.838949477858225,21.27099253959091,21.964395486159177,21.597064339180065,21.253460937418367,20.95865697902792,20.914924160079,21.49131067210936,21.22854337299124,21.33981896489301,21.419310781709417,21.80141694732675,21.147166937195053,20.615461751102305,21.27306620358555,20.71879275248354,20.733553321840198,20.966812023600863,21.48400055506863,20.689068085731904,21.51032551513019,21.3309637247439,21.470925866285352,21.929637785333373,21.140043242260795,21.547823845943284,20.86304254869742,21.33032397179719,21.440514226966688,21.636089284540773,22.012233713689053,22.273901875371603,21.71945467353707,21.52012589755762,21.292337658704717,21.553423139710382,22.17761876491571,21.29035947440011,22.15611559190732,22.225599397569432,22.098394977840293,21.706448920902105,21.492482189227086,21.05432043090081,21.23652589894449,23.248486764763864,21.386244678484783,7.146604064381808e-10,2.849400327393609e-10
F13827,61.0403,75.51,73.83,77.18,13255,1506130095,0.86,0.99,14,90,24.31519867822468,23.961512257564944,23.968798617568083,24.156296146683797,24.239586268744823,18.822595760907337,18.822595760907337,23.287303716446115,24.02708560304085,18.822595760907337,24.62985989847276,23.90292390557557,18.822595760907337,24.62659858397892,24.73430154510802,23.76572739448612,24.414225477827014,24.34805503784789,25.08028378969344,23.37219852760355,24.17133391637883,24.646135216460568,23.921952953902505,24.55150284341751,18.822595760907337,18.822595760907337,24.352784441116253,18.822595760907337,24.478725029741508,18.822595760907337,24.06553527708784,24.00479840004068,24.256182500939182,24.159448548709037,24.290559498989197,18.822595760907337,23.95569979539355,18.822595760907337,25.232203507778607,24.593750692676032,18.822595760907337,24.13187091337346,18.822595760907337,24.47986568884325,18.822595760907337,24.255709893235785,24.2114674642062,23.768736229650138,24.66420238402686,18.822595760907337,24.99100282374863,18.822595760907337,23.758079532897657,18.822595760907337,18.822595760907337,18.822595760907337,18.822595760907337,25.132936396241192,18.822595760907337,23.911475181997144,22.95659621303722,22.240316344152134,23.65006877101909,22.84994703640909,22.28973053509936,23.71939609857931,22.50648995467248,23.206366746567596,23.207491297360484,23.568601021491737,23.401734272873643,21.597192079249297,22.80995074200377,23.405076399066388,23.42934939614968,22.74824924992303,23.9474156301096,22.576588809663487,23.29032171121259,24.752878213206856,22.33126231097647,22.562277350689893,24.05572182297633,22.15425375467853,22.44412649637607,24.210390111006827,23.76603159196048,20.602685542595523,22.83465152357787,24.892144321900663,21.92015062304322,22.104780235934008,23.296329317297733,22.606880912787226,22.356151402242684,23.032715246265607,24.419625096484395,21.817784319314097,19.82259420501745,23.764899243539947,24.945427775102942,23.348653166438968,20.875325139244456,24.58920249667141,24.177415494166084,23.357721929213408,23.193019949428056,23.48045990910146,22.70725530680852,24.61849626708525,4.7714226199806206e-11,1.7173008136568183e-11
F16324,64.0029,222.16,215.75,231.64,16012,51054658,1.0,0.97,42,85,20.463842023355856,19.401896230131896,18.52978772943134,19.426470939705982,17.785290785024056,13.470560201274225,13.470560201274225,13.470560201274225,19.35720193445496,13.470560201274225,19.703640701448343,19.20357553213818,18.5441846765971,19.446350526786475,20.43596267625385,19.8221301191046,20.25722619976305,19.762406807935527,19.890035972620115,19.40947818915132,20.204041028238485,19.85069798830027,19.2820384109284,19.77393490583638,13.470560201274225,13.470560201274225,19.65312908081243,13.470560201274225,19.14681324249644,13.470560201274225,20.057163508887317,19.19381593033722,20.07581311209555,19.133095100627383,13.470560201274225,13.470560201274225,19.9347547169111,13.470560201274225,18.17736314956976,13.470560201274225,13.470560201274225,19.25088064749315,13.470560201274225,18.93317485349372,13.470560201274225,18.77963805529956,19.353621041295035,18.73995488258265,19.20895267973821,13.470560201274225,19.197702443668497,13.470560201274225,17.47270791717611,13.470560201274225,13.470560201274225,13.470560201274225,13.470560201274225,20.513672251013435,13.470560201274225,18.358446125218386,18.301362851426443,18.828245745452847,17.39406736540267,19.336449548859047,16.35358821746507,18.667202821906557,18.508407601210425,17.493569789146562,19.89398870042532,16.963089009638345,17.500855949038048,17.133076204953156,18.317990380335296,17.218625431059063,18.05585866151537,16.81729135636999,17.842309932925957,17.153888207509834,16.03140676313534,19.97520067090812,16.994429578892817,17.156289730046023,17.433604606250594,16.73761781872695,16.275983710032268,17.643957799236187,17.52105519292227,16.790295504565346,16.34146325516745,19.92431327500941,16.75959896214111,16.352214633935812,17.664193942387765,13.470560201274225,17.09665668795187,15.901032597770476,16.42216710057539,16.97025492140698,17.30211325578203,13.470560201274225,20.13128791807328,18.08663825215257,17.117363238457404,16.929361740127035,14.4704966518779,16.192476993725936,15.391008523473106,16.034927836129416,13.470560201274225,20.33861402421893,7.981800796590046e-14,2.150269611150336e-14
F25351,79.0547,39.4,38.01,40.65,21763,2001408,0.92,0.79,8,68,15.00770429522317,14.905566809169594,14.546893681590474,15.970765678539728,15.827732075600238,10.767746858498738,10.767746858498738,14.064196864233775,15.095719487209305,10.767746858498738,14.796767182419664,13.695538732939577,10.767746858498738,14.684623557364628,16.348468371887865,15.7582623094353,15.862520767227362,14.85426126194126,15.424936509045208,14.694203104058287,14.46637348176276,15.192214203235782,14.515003556129162,14.195827149650848,10.767746858498738,10.767746858498738,15.03245317640188,10.767746858498738,14.90050638693512,10.767746858498738,14.434039151762098,13.638119469872777,13.389917335072164,13.141993607239057,14.991749144120044,10.767746858498738,13.751185357058835,10.767746858498738,13.972719416575808,14.62133398901419,10.767746858498738,14.691742439777643,10.767746858498738,14.800369707501114,10.767746858498738,14.996642590079569,14.963025639804728,15.47136163937959,14.632318597675605,10.767746858498738,14.663646000495527,10.767746858498738,14.41538830158409,10.767746858498738,10.767746858498738,10.767746858498738,10.767746858498738,13.452889637031705,10.767746858498738,14.342815061839568,13.358594136886412,12.276502483004396,12.20556155743532,14.603148646668874,13.402505291197697,15.612216147214292,13.692412511877627,12.086960950116204,12.80677772508275,13.504981198701277,12.45910544628256,10.767746858498738,13.50317652911952,10.767746858498738,14.115753187112944,10.767746858498738,11.76733305702314,13.762836049553544,12.452664862312888,14.599795404785228,13.60925936652094,13.058609978284908,10.767746858498738,10.767746858498738,12.923528289702745,12.85678119410399,10.767746858498738,10.767746858498738,13.83485437982468,14.766783999058337,10.767746858498738,14.494562449364745,10.767746858498738,10.767746858498738,14.522790530081105,10.767746858498738,10.767746858498738,14.259907659594951,10.767746858498738,10.767746858498738,15.130883877316032,10.767746858498738,10.767746858498738,10.767746858498738,10.767746858498738,10.767746858498738,10.767746858498738,10.767746858498738,10.767746858498738,14.07832765108889,2.767070094381726e-19,4.651540244865833e-20
F27350,85.0258,59.47,57.8,61.15,25490,18078145,1.0,0.98,24,82,17.984540097801727,17.952478152502213,17.826076571068047,17.96352244932918,18.030533703899334,14.314714452471751,14.314714452471751,18.020297923670206,17.091853876266086,14.314714452471751,15.314679053435222,16.866947974875345,14.314714452471751,17.693077056001442,18.1658869017689,17.48214318481554,18.294957431185736,17.268596140884878,17.76365787659747,17.20792977037205,17.60057690788863,17.51355917039146,17.63699348679943,17.482981046828474,14.314714452471751,14.314714452471751,18.084742889058813,14.314714452471751,17.99498741663614,14.314714452471751,18.046196316637893,17.608722010328112,17.34197328420701,17.718256735913457,18.0251449518408,14.314714452471751,18.103769701719877,14.314714452471751,17.679431144414007,17.582842830587822,14.314714452471751,17.843466452709656,14.314714452471751,17.76506171814214,17.677803282198376,17.710237973852863,18.22406907360589,18.11908705304965,17.97305799102015,14.314714452471751,17.802483321473257,14.314714452471751,18.05044380263475,14.314714452471751,14.314714452471751,14.314714452471751,14.314714452471751,17.933867380958752,14.314714452471751,17.93116874928758,17.148603305122656,18.755886770658968,17.879380953665038,18.47807542111375,18.277012071973594,18.706380416748846,18.14109636904651,18.293903122968857,17.2882350933815,18.289237887616547,18.39804287919344,18.01441266029989,18.122915575498773,17.852912279122535,19.08436668913617,17.996655231291573,17.678223371837912,17.025427716495408,18.166294360046315,17.671338832485866,17.165754605000103,17.399379032077782,18.04166528023547,17.9714779703791,18.090590051216303,18.301723360140738,18.125757567115656,14.314714452471751,18.072945474991727,17.066962136598875,15.988652218613131,18.33402569041532,18.62274846992108,18.62852498446252,17.078232008650087,18.565768284431726,14.314714452471751,17.014801877997392,14.314714452471751,14.314714452471751,17.391073217685676,18.965059951671133,14.314714452471751,14.314714452471751,14.314714452471751,18.44492710360894,14.314714452471751,18.598963863695047,14.314714452471751,17.267011290964337,0.001271502494244681,0.0008686773505938877
